data;curs
21.11.2019;64,0213
20.11.2019;63,7730
19.11.2019;63,7542
16.11.2019;63,8881
15.11.2019;64,2101
14.11.2019;64,2009
13.11.2019;63,8530
12.11.2019;63,9121
09.11.2019;63,7295
08.11.2019;63,7298
07.11.2019;63,5880
06.11.2019;63,2480
02.11.2019;64,0316
01.11.2019;63,7748
31.10.2019;63,8734
30.10.2019;63,8320
29.10.2019;63,8700
26.10.2019;63,9966
25.10.2019;63,8600
24.10.2019;63,7997
23.10.2019;63,6336
22.10.2019;63,7606
19.10.2019;63,9542
18.10.2019;64,0144
17.10.2019;64,3455
16.10.2019;64,2548
15.10.2019;64,3652
12.10.2019;64,2237
11.10.2019;64,7416
10.10.2019;65,0976
09.10.2019;64,8672
08.10.2019;64,8259
05.10.2019;65,0300
04.10.2019;65,1312
03.10.2019;65,4399
02.10.2019;65,0670
01.10.2019;64,6407
28.09.2019;64,4156
27.09.2019;64,2888
26.09.2019;64,1873
25.09.2019;63,7060
24.09.2019;63,9453
21.09.2019;63,8487
20.09.2019;64,2199
19.09.2019;64,4290
18.09.2019;64,1213
17.09.2019;63,8272
14.09.2019;64,4711
13.09.2019;65,1909
12.09.2019;65,4321
11.09.2019;65,4393
10.09.2019;65,5698
07.09.2019;65,9981
06.09.2019;66,0528
05.09.2019;66,5002
04.09.2019;66,9072
03.09.2019;66,6235
31.08.2019;66,4897
30.08.2019;66,7471
29.08.2019;66,4127
28.08.2019;66,2608
27.08.2019;65,9735
24.08.2019;65,6046
23.08.2019;65,6196
22.08.2019;66,2630
21.08.2019;66,7840
20.08.2019;66,6082
17.08.2019;65,9961
16.08.2019;65,8907
15.08.2019;65,2032
14.08.2019;65,6017
13.08.2019;65,4287
10.08.2019;65,2543
09.08.2019;65,1299
08.08.2019;65,0932
07.08.2019;65,2030
06.08.2019;65,0546
03.08.2019;64,6423
02.08.2019;63,8340
01.08.2019;63,4172
31.07.2019;63,3791
30.07.2019;63,5210
27.07.2019;63,1271
26.07.2019;63,1572
25.07.2019;63,1162
24.07.2019;63,1290
23.07.2019;62,9776
20.07.2019;62,8666
19.07.2019;62,8286
18.07.2019;62,9451
17.07.2019;62,8129
16.07.2019;62,8280
13.07.2019;63,0204
12.07.2019;62,9944
11.07.2019;63,7988
10.07.2019;63,7660
09.07.2019;63,8699
06.07.2019;63,5841
05.07.2019;63,4013
04.07.2019;63,4951
03.07.2019;63,2265
02.07.2019;63,0541
29.06.2019;63,0756
28.06.2019;63,0452
27.06.2019;62,8083
26.06.2019;62,5229
25.06.2019;62,9095
22.06.2019;63,1295
21.06.2019;63,3877
20.06.2019;63,9794
19.06.2019;64,3352
18.06.2019;64,3187
15.06.2019;64,4326
14.06.2019;64,6314
12.06.2019;64,5158
11.06.2019;64,7919
08.06.2019;65,0395
07.06.2019;65,2340
